nom,date,cumulative_contacts_traced
Komanda,2026-06-03,ND
Kyondo,2026-06-03,ND
Lita,2026-06-03,ND
Logo,2026-06-03,ND
Mambasa,2026-06-03,ND
Mangala,2026-06-03,ND
Miti-Murhesa,2026-06-03,ND
Mongbwalu,2026-06-03,ND
Nizi,2026-06-03,ND
Nyankunde,2026-06-03,ND
Oicha,2026-06-03,ND
Rimba,2026-06-03,ND
Rwampara,2026-06-03,ND
Aru,2026-06-04,ND
Aungba,2026-06-04,ND
Autres ZS (données non ventilées),2026-06-04,ND
Bambu,2026-06-04,ND
Beni,2026-06-04,ND
Bunia,2026-06-04,ND
Butembo,2026-06-04,ND
Damas,2026-06-04,ND
Gety,2026-06-04,ND
Goma,2026-06-04,ND
Kalunguta,2026-06-04,ND
Katwa,2026-06-04,ND
Kilo,2026-06-04,ND
Komanda,2026-06-04,ND
Kyondo,2026-06-04,ND
Lita,2026-06-04,ND
Logo,2026-06-04,ND
Mambasa,2026-06-04,ND
Mangala,2026-06-04,ND
Miti-Murhesa,2026-06-04,ND
Mongbwalu,2026-06-04,ND
Nizi,2026-06-04,ND
Nyankunde,2026-06-04,ND
Oicha,2026-06-04,ND
Rimba,2026-06-04,ND
Rwampara,2026-06-04,ND
Aru,2026-06-05,ND
Aungba,2026-06-05,ND
Autres ZS (données non ventilées),2026-06-05,ND
Bambu,2026-06-05,ND
Beni,2026-06-05,ND
Bunia,2026-06-05,ND
Butembo,2026-06-05,ND
Damas,2026-06-05,ND
Gety,2026-06-05,ND
Goma,2026-06-05,ND
Kalunguta,2026-06-05,ND
Katwa,2026-06-05,ND
Kilo,2026-06-05,ND
Komanda,2026-06-05,ND
Kyondo,2026-06-05,ND
Lita,2026-06-05,ND
Logo,2026-06-05,ND
Mambasa,2026-06-05,ND
Mangala,2026-06-05,ND
Miti-Murhesa,2026-06-05,ND
Mongbwalu,2026-06-05,ND
Nizi,2026-06-05,ND
Nyankunde,2026-06-05,ND
Oicha,2026-06-05,ND
Rimba,2026-06-05,ND
Rwampara,2026-06-05,ND
Aru,2026-06-06,ND
Aungba,2026-06-06,ND
Autres ZS (données non ventilées),2026-06-06,ND
Bambu,2026-06-06,ND
Beni,2026-06-06,ND
Bunia,2026-06-06,ND
Butembo,2026-06-06,ND
Damas,2026-06-06,ND
Gety,2026-06-06,ND
Goma,2026-06-06,ND
Kalunguta,2026-06-06,ND
Katwa,2026-06-06,ND
Kilo,2026-06-06,ND
Komanda,2026-06-06,ND
Kyondo,2026-06-06,ND
Lita,2026-06-06,ND
Logo,2026-06-06,ND
Mambasa,2026-06-06,ND
Mangala,2026-06-06,ND
Miti-Murhesa,2026-06-06,ND
Mongbwalu,2026-06-06,ND
Nizi,2026-06-06,ND
Nyankunde,2026-06-06,ND
Oicha,2026-06-06,ND
Rimba,2026-06-06,ND
Rwampara,2026-06-06,ND
