data_date,province,sitrep_source,contacts_listed,contacts_followed,pct_followed
06/06/2026,Ituri,MVE_SitRep_023_2026-06-07,4118,1779,43.2
06/06/2026,Nord-Kivu,MVE_SitRep_023_2026-06-07,699,577,82.5
06/06/2026,Sud-Kivu,MVE_SitRep_023_2026-06-07,223,179,80.3
