data_date,province,sitrep_source,contacts_listed,contacts_followed,pct_followed
08/06/2026,Ituri,MVE_SitRep_025_2026-06-09,4752,2487,52.3
08/06/2026,Nord-Kivu,MVE_SitRep_025_2026-06-09,703,533,75.8
08/06/2026,Sud-Kivu,MVE_SitRep_025_2026-06-09,226,181,80.1
