province,zone_de_sante,cas_suspects,cas_probables,cas_confirmes,deces_suspects,deces_probables,deces_confirmes,contacts
Ituri,Bunia,,,80,,,8,
Ituri,Rwampara,,,65,,,13,
Ituri,Mongbwalu,,,47,,,10,
Ituri,Nyankunde,,,19,,,1,
Ituri,Bambu,,,2,,,2,
Ituri,Aru,,,2,,,1,
Ituri,Kilo,,,2,,,0,
Ituri,Nizi,,,2,,,0,
Ituri,Mangala,,,1,,,0,
Ituri,Damas,,,1,,,0,
Ituri,Aungba,,,1,,,0,
Ituri,Gety,,,1,,,0,
Ituri,Komanda,,,1,,,0,
Ituri,Lita,,,1,,,0,
Ituri,Logo,,,1,,,0,
Ituri,Mambasa,,,2,,,1,
Ituri,Autres ZS (données non ventilées),,,94,,,10,
Ituri,,,,322,,,46,
Nord-Kivu,Katwa,,,7,,,5,
Nord-Kivu,Beni,,,5,,,3,
Nord-Kivu,Butembo,,,2,,,2,
Nord-Kivu,Oicha,,,2,,,2,
Nord-Kivu,Kalunguta,,,1,,,1,
Nord-Kivu,Kyondo,,,1,,,0,
Nord-Kivu,Goma,,,1,,,0,
Nord-Kivu,,,,19,,,13,
Sud-Kivu,Miti-Murhesa,,,3,,,1,
Sud-Kivu,,,,3,,,1,
,,,,344,,,60,
