province,zone_de_sante,cas_suspects,cas_probables,cas_confirmes,deces_suspects,deces_probables,deces_confirmes,contacts
Ituri,,,,299,,,46,
Nord-Kivu,,,,19,,,1,
Sud-Kivu,,,,3,,,1,
Total,,,,321,,,48,
