date,zone,province,sitrep_source,in_bed_previous_day,new_admissions_ppl,new_admissions_other,total_admissions,total_isolated,cumulative_admitted
03/06/2026,Ensemble,,MVE_SitRep_020_2026-06-04,222,,,48,233,
04/06/2026,Ituri,,MVE_SitRep_021_2026-06-05,219,,,61,243,
04/06/2026,Nord-Kivu,,MVE_SitRep_021_2026-06-05,8,,,1,9,
04/06/2026,Sud-Kivu,,MVE_SitRep_021_2026-06-05,6,,,0,6,
04/06/2026,Ensemble,,MVE_SitRep_021_2026-06-05,233,,,62,258,
05/06/2026,Ituri,,MVE_SitRep_022_2026-06-06,236,,,37,251,
05/06/2026,Nord-Kivu,,MVE_SitRep_022_2026-06-06,8,,,1,9,
05/06/2026,Sud-Kivu,,MVE_SitRep_022_2026-06-06,7,,,0,7,
05/06/2026,Ensemble,,MVE_SitRep_022_2026-06-06,251,,,38,267,
06/06/2026,Ituri,,MVE_SitRep_023_2026-06-07,257,,,29,260,
06/06/2026,Nord-Kivu,,MVE_SitRep_023_2026-06-07,16,,,1,16,
06/06/2026,Sud-Kivu,,MVE_SitRep_023_2026-06-07,7,,,0,7,
06/06/2026,Ensemble,,MVE_SitRep_023_2026-06-07,280,,,30,283,
