data_date,province,sitrep_source,contacts_listed,contacts_followed,pct_followed
02/06/2026,Ituri,MVE_SitRep_019_2026-06-03,3637,1498,41.2
02/06/2026,Nord-Kivu,MVE_SitRep_019_2026-06-03,519,326,62.8
02/06/2026,Sud-Kivu,MVE_SitRep_019_2026-06-03,137,131,95.6
