count_start_date,count_end_date,count_type,cases_suspect,cases_probable,cases_confirmed,deaths_suspected,deaths_probable,deaths_confirmed,contacts,zone,province,sitrep_source,is_aggregate
07/06/2026,07/06/2026,Nouveaux,,,13,,,,,Rwampara,Ituri,MVE_SitRep_024_2026-06-08,FALSE
07/06/2026,07/06/2026,Nouveaux,,,10,,,,,Bunia,Ituri,MVE_SitRep_024_2026-06-08,FALSE
07/06/2026,07/06/2026,Nouveaux,,,6,,,,,Mongbwalu,Ituri,MVE_SitRep_024_2026-06-08,FALSE
07/06/2026,07/06/2026,Nouveaux,,,2,,,,,Nyankunde,Ituri,MVE_SitRep_024_2026-06-08,FALSE
07/06/2026,07/06/2026,Nouveaux,,,4,,,,,Beni,Nord-Kivu,MVE_SitRep_024_2026-06-08,FALSE
07/06/2026,07/06/2026,Nouveaux,,,31,,,,,,Ituri,MVE_SitRep_024_2026-06-08,TRUE
07/06/2026,07/06/2026,Nouveaux,,,4,,,4,,,Nord-Kivu,MVE_SitRep_024_2026-06-08,TRUE
07/06/2026,07/06/2026,Nouveaux,,,0,,,0,,,Sud-Kivu,MVE_SitRep_024_2026-06-08,TRUE
07/06/2026,07/06/2026,Nouveaux,94,,35,,,10,,,Total,MVE_SitRep_024_2026-06-08,TRUE
,07/06/2026,Cumules,,,152,,,15,,Bunia,Ituri,MVE_SitRep_024_2026-06-08,FALSE
,07/06/2026,Cumules,,,111,,,20,,Rwampara,Ituri,MVE_SitRep_024_2026-06-08,FALSE
,07/06/2026,Cumules,,,98,,,29,,Mongbwalu,Ituri,MVE_SitRep_024_2026-06-08,FALSE
,07/06/2026,Cumules,,,26,,,1,,Nyankunde,Ituri,MVE_SitRep_024_2026-06-08,FALSE
,07/06/2026,Cumules,,,5,,,2,,Bambu,Ituri,MVE_SitRep_024_2026-06-08,FALSE
,07/06/2026,Cumules,,,3,,,1,,Aru,Ituri,MVE_SitRep_024_2026-06-08,FALSE
,07/06/2026,Cumules,,,4,,,1,,Kilo,Ituri,MVE_SitRep_024_2026-06-08,FALSE
,07/06/2026,Cumules,,,5,,,0,,Nizi,Ituri,MVE_SitRep_024_2026-06-08,FALSE
,07/06/2026,Cumules,,,1,,,0,,Mangala,Ituri,MVE_SitRep_024_2026-06-08,FALSE
,07/06/2026,Cumules,,,3,,,0,,Damas,Ituri,MVE_SitRep_024_2026-06-08,FALSE
,07/06/2026,Cumules,,,1,,,0,,Aungba,Ituri,MVE_SitRep_024_2026-06-08,FALSE
,07/06/2026,Cumules,,,1,,,0,,Gety,Ituri,MVE_SitRep_024_2026-06-08,FALSE
,07/06/2026,Cumules,,,3,,,0,,Komanda,Ituri,MVE_SitRep_024_2026-06-08,FALSE
,07/06/2026,Cumules,,,4,,,0,,Lita,Ituri,MVE_SitRep_024_2026-06-08,FALSE
,07/06/2026,Cumules,,,2,,,0,,Logo,Ituri,MVE_SitRep_024_2026-06-08,FALSE
,07/06/2026,Cumules,,,2,,,1,,Mambasa,Ituri,MVE_SitRep_024_2026-06-08,FALSE
,07/06/2026,Cumules,,,3,,,0,,Rimba,Ituri,MVE_SitRep_024_2026-06-08,FALSE
,07/06/2026,Cumules,,,94,,,10,,Autres ZS (données non ventilées),Ituri,MVE_SitRep_024_2026-06-08,FALSE
,07/06/2026,Cumules,,,518,,,80,,,Ituri,MVE_SitRep_024_2026-06-08,TRUE
,07/06/2026,Cumules,,,11,,,8,,Katwa,Nord-Kivu,MVE_SitRep_024_2026-06-08,FALSE
,07/06/2026,Cumules,,,9,,,7,,Beni,Nord-Kivu,MVE_SitRep_024_2026-06-08,FALSE
,07/06/2026,Cumules,,,4,,,2,,Butembo,Nord-Kivu,MVE_SitRep_024_2026-06-08,FALSE
,07/06/2026,Cumules,,,2,,,2,,Oicha,Nord-Kivu,MVE_SitRep_024_2026-06-08,FALSE
,07/06/2026,Cumules,,,1,,,1,,Kalunguta,Nord-Kivu,MVE_SitRep_024_2026-06-08,FALSE
,07/06/2026,Cumules,,,1,,,0,,Kyondo,Nord-Kivu,MVE_SitRep_024_2026-06-08,FALSE
,07/06/2026,Cumules,,,1,,,0,,Goma,Nord-Kivu,MVE_SitRep_024_2026-06-08,FALSE
,07/06/2026,Cumules,,,29,,,20,,,Nord-Kivu,MVE_SitRep_024_2026-06-08,TRUE
,07/06/2026,Cumules,,,3,,,1,,Miti-Murhesa,Sud-Kivu,MVE_SitRep_024_2026-06-08,FALSE
,07/06/2026,Cumules,,,3,,,1,,,Sud-Kivu,MVE_SitRep_024_2026-06-08,TRUE
,07/06/2026,Cumules,,,550,,,101,,,Total,MVE_SitRep_024_2026-06-08,TRUE
