data_date,province,sitrep_source,contacts_listed,contacts_followed,pct_followed
07/06/2026,Ituri,MVE_SitRep_024_2026-06-08,4454,2678,60.1
07/06/2026,Nord-Kivu,MVE_SitRep_024_2026-06-08,738,587,79.5
07/06/2026,Sud-Kivu,MVE_SitRep_024_2026-06-08,226,224,99.1
