province,zone_de_sante,cas_suspects,cas_probables,cas_confirmes,deces_suspects,deces_probables,deces_confirmes
Ituri,Mongbwalu,,57,0,,,
Ituri,Rwampara,,27,13,,,
Ituri,Bunia,,3,0,,,
Ituri,Total,246,87,13,,,
