count_start_date,count_end_date,count_type,cases_suspect,cases_probable,cases_confirmed,deaths_suspected,deaths_probable,deaths_confirmed,zone,province,sitrep_source,is_aggregate
01/04/2026,15/05/2026,Cumules,,57,0,,,,Mongbwalu,Ituri,Sitrep_MVE-Ituri_N°-002_18-mai-2026,FALSE
01/04/2026,15/05/2026,Cumules,,27,13,,,,Rwampara,Ituri,Sitrep_MVE-Ituri_N°-002_18-mai-2026,FALSE
01/04/2026,15/05/2026,Cumules,,3,0,,,,Bunia,Ituri,Sitrep_MVE-Ituri_N°-002_18-mai-2026,FALSE
01/04/2026,15/05/2026,Cumules,246,87,13,,,,Total,Ituri,Sitrep_MVE-Ituri_N°-002_18-mai-2026,TRUE
