data_date,province,sitrep_source,contacts_listed,contacts_followed,pct_followed
04/06/2026,Ituri,MVE_SitRep_021_2026-06-05,3997,2181,54.6
04/06/2026,Nord-Kivu,MVE_SitRep_021_2026-06-05,589,424,72.0
04/06/2026,Sud-Kivu,MVE_SitRep_021_2026-06-05,180,150,83.3
04/06/2026,Total,MVE_SitRep_021_2026-06-05,4766,2755,57.8
