count_start_date,count_end_date,count_type,cases_suspect,cases_probable,cases_confirmed,deaths_suspected,deaths_probable,deaths_confirmed,contacts,zone,province,sitrep_source,is_aggregate
,04/06/2026,Nouveaux,,,65,,,16,,,Ituri,MVE_SitRep_021_2026-06-05,TRUE
,04/06/2026,Nouveaux,,,6,,,2,,,Nord-Kivu,MVE_SitRep_021_2026-06-05,TRUE
,04/06/2026,Nouveaux,,,0,,,0,,,Sud-Kivu,MVE_SitRep_021_2026-06-05,TRUE
,04/06/2026,Nouveaux,,,71,,,21,,,Total,MVE_SitRep_021_2026-06-05,TRUE
,04/06/2026,Cumules,,,123,,,11,,Bunia,Ituri,MVE_SitRep_021_2026-06-05,FALSE
,04/06/2026,Cumules,,,86,,,18,,Rwampara,Ituri,MVE_SitRep_021_2026-06-05,FALSE
,04/06/2026,Cumules,,,64,,,21,,Mongbwalu,Ituri,MVE_SitRep_021_2026-06-05,FALSE
,04/06/2026,Cumules,,,22,,,1,,Nyankunde,Ituri,MVE_SitRep_021_2026-06-05,FALSE
,04/06/2026,Cumules,,,5,,,2,,Bambu,Ituri,MVE_SitRep_021_2026-06-05,FALSE
,04/06/2026,Cumules,,,3,,,1,,Aru,Ituri,MVE_SitRep_021_2026-06-05,FALSE
,04/06/2026,Cumules,,,3,,,1,,Kilo,Ituri,MVE_SitRep_021_2026-06-05,FALSE
,04/06/2026,Cumules,,,5,,,0,,Nizi,Ituri,MVE_SitRep_021_2026-06-05,FALSE
,04/06/2026,Cumules,,,1,,,0,,Mangala,Ituri,MVE_SitRep_021_2026-06-05,FALSE
,04/06/2026,Cumules,,,3,,,0,,Damas,Ituri,MVE_SitRep_021_2026-06-05,FALSE
,04/06/2026,Cumules,,,1,,,0,,Aungba,Ituri,MVE_SitRep_021_2026-06-05,FALSE
,04/06/2026,Cumules,,,1,,,0,,Gety,Ituri,MVE_SitRep_021_2026-06-05,FALSE
,04/06/2026,Cumules,,,3,,,0,,Komanda,Ituri,MVE_SitRep_021_2026-06-05,FALSE
,04/06/2026,Cumules,,,3,,,0,,Lita,Ituri,MVE_SitRep_021_2026-06-05,FALSE
,04/06/2026,Cumules,,,2,,,0,,Logo,Ituri,MVE_SitRep_021_2026-06-05,FALSE
,04/06/2026,Cumules,,,2,,,1,,Mambasa,Ituri,MVE_SitRep_021_2026-06-05,FALSE
,04/06/2026,Cumules,,,3,,,0,,Rimba,Ituri,MVE_SitRep_021_2026-06-05,FALSE
,04/06/2026,Cumules,,,94,,,10,,Autres ZS (données non ventilées),Ituri,MVE_SitRep_021_2026-06-05,FALSE
,04/06/2026,Cumules,,,424,,,66,,,Ituri,MVE_SitRep_021_2026-06-05,TRUE
,04/06/2026,Cumules,,,11,,,7,,Katwa,Nord-Kivu,MVE_SitRep_021_2026-06-05,FALSE
,04/06/2026,Cumules,,,5,,,3,,Beni,Nord-Kivu,MVE_SitRep_021_2026-06-05,FALSE
,04/06/2026,Cumules,,,4,,,2,,Butembo,Nord-Kivu,MVE_SitRep_021_2026-06-05,FALSE
,04/06/2026,Cumules,,,2,,,2,,Oicha,Nord-Kivu,MVE_SitRep_021_2026-06-05,FALSE
,04/06/2026,Cumules,,,1,,,1,,Kalunguta,Nord-Kivu,MVE_SitRep_021_2026-06-05,FALSE
,04/06/2026,Cumules,,,1,,,0,,Kyondo,Nord-Kivu,MVE_SitRep_021_2026-06-05,FALSE
,04/06/2026,Cumules,,,1,,,0,,Goma,Nord-Kivu,MVE_SitRep_021_2026-06-05,FALSE
,04/06/2026,Cumules,,,25,,,15,,,Nord-Kivu,MVE_SitRep_021_2026-06-05,TRUE
,04/06/2026,Cumules,,,3,,,1,,Miti-Murhesa,Sud-Kivu,MVE_SitRep_021_2026-06-05,FALSE
,04/06/2026,Cumules,,,3,,,1,,,Sud-Kivu,MVE_SitRep_021_2026-06-05,TRUE
,04/06/2026,Cumules,,,452,,,82,,,Total,MVE_SitRep_021_2026-06-05,TRUE
