province,zone_de_sante,cas_suspects,cas_probables,cas_confirmes,deces_suspects,deces_probables,deces_confirmes
Ituri,Bunia,41.0,,6,,,1
Ituri,Rwampara,14.0,,7,,,1
Ituri,Mongbwalu,5.0,,1,,,0
Ituri,Bambu,0.0,,0,,,0
Ituri,Nyankunde,9.0,,2,,,0
Ituri,Nizi,1.0,,1,,,0
Ituri,Kilo,1.0,,1,,,0
Ituri,Sous total,70.0,0,18,,,2
Nord-Kivu,Goma,,,0,,,0
Nord-Kivu,Butembo,,,0,,,0
Nord-Kivu,Katwa,,,0,,,0
Sud-Kivu,Miti Murhesa,,,1,,,1
,Sous total Nord-Kivu/Sud-Kivu,0.0,0,1,,,1
,Total,70.0,0,19,,,3
