count_start_date,count_end_date,count_type,cases_suspect,cases_probable,cases_confirmed,deaths_suspected,deaths_probable,deaths_confirmed,contacts,zone,province,sitrep_source,is_aggregate
,27/05/2026,Cumules,4,,1,1,,,0,Aru,Ituri,MVE_SitRep_013_2026-05-28,FALSE
,27/05/2026,Cumules,6,,0,2,,,244,Bambu,Ituri,MVE_SitRep_013_2026-05-28,FALSE
,27/05/2026,Cumules,249,,37,48,,,404,Bunia,Ituri,MVE_SitRep_013_2026-05-28,FALSE
,27/05/2026,Cumules,8,,1,2,,,41,Kilo,Ituri,MVE_SitRep_013_2026-05-28,FALSE
,27/05/2026,Cumules,339,,20,88,,,222,Mongbwalu,Ituri,MVE_SitRep_013_2026-05-28,FALSE
,27/05/2026,Cumules,6,,2,2,,,220,Nizi,Ituri,MVE_SitRep_013_2026-05-28,FALSE
,27/05/2026,Cumules,45,,10,11,,,397,Nyankunde,Ituri,MVE_SitRep_013_2026-05-28,FALSE
,27/05/2026,Cumules,228,,33,69,,,697,Rwampara,Ituri,MVE_SitRep_013_2026-05-28,FALSE
,27/05/2026,Cumules,0,,6,0,,,0,Echantillons sans fiche,Ituri,MVE_SitRep_013_2026-05-28,FALSE
,27/05/2026,Cumules,885,,110,223,,,2225,,Ituri,MVE_SitRep_013_2026-05-28,TRUE
,27/05/2026,Cumules,7,,5,0,,,28,Butembo,Nord-Kivu,MVE_SitRep_013_2026-05-28,FALSE
,27/05/2026,Cumules,0,,1,0,,,74,Goma,Nord-Kivu,MVE_SitRep_013_2026-05-28,FALSE
,27/05/2026,Cumules,13,,2,0,,,,Kalunguta,Nord-Kivu,MVE_SitRep_013_2026-05-28,FALSE
,27/05/2026,Cumules,0,,4,0,,,111,Katwa,Nord-Kivu,MVE_SitRep_013_2026-05-28,FALSE
,27/05/2026,Cumules,0,,0,0,,,16,Kyondo,Nord-Kivu,MVE_SitRep_013_2026-05-28,FALSE
,27/05/2026,Cumules,0,,2,0,,,,Oicha,Nord-Kivu,MVE_SitRep_013_2026-05-28,FALSE
,27/05/2026,Cumules,20,,14,0,,,410,,Nord-Kivu,MVE_SitRep_013_2026-05-28,TRUE
,27/05/2026,Cumules,1,,1,0,,,,Miti Murhesa,Sud-Kivu,MVE_SitRep_013_2026-05-28,FALSE
,27/05/2026,Cumules,1,,1,0,,,0,,Sud-Kivu,MVE_SitRep_013_2026-05-28,TRUE
,27/05/2026,Cumules,906,,125,223,,17,2635,Total,,MVE_SitRep_013_2026-05-28,TRUE
