count_start_date,count_end_date,count_type,cases_suspect,cases_probable,cases_confirmed,deaths_suspected,deaths_probable,deaths_confirmed,contacts,zone,province,sitrep_source,is_aggregate
20/05/2026,20/05/2026,Nouveaux,29,,0,,,0,76,Bunia,Ituri,Draft_SitRep_MVE_RDC_20260520_vf1,FALSE
20/05/2026,20/05/2026,Nouveaux,18,,4,,,0,215,Rwampara,Ituri,Draft_SitRep_MVE_RDC_20260520_vf1,FALSE
20/05/2026,20/05/2026,Nouveaux,7,,12,,,0,15,Mongbwalu,Ituri,Draft_SitRep_MVE_RDC_20260520_vf1,FALSE
20/05/2026,20/05/2026,Nouveaux,5,,0,,,0,0,Nyankunde,Ituri,Draft_SitRep_MVE_RDC_20260520_vf1,FALSE
20/05/2026,20/05/2026,Nouveaux,59,0,16,,,0,306,,Ituri,Draft_SitRep_MVE_RDC_20260520_vf1,TRUE
20/05/2026,20/05/2026,Nouveaux,,,0,,,0,,Goma,Nord-Kivu,Draft_SitRep_MVE_RDC_20260520_vf1,FALSE
20/05/2026,20/05/2026,Nouveaux,,,0,,,0,,Butembo,Nord-Kivu,Draft_SitRep_MVE_RDC_20260520_vf1,FALSE
20/05/2026,20/05/2026,Nouveaux,,,0,,,0,,Katwa,Nord-Kivu,Draft_SitRep_MVE_RDC_20260520_vf1,FALSE
20/05/2026,20/05/2026,Nouveaux,0,0,0,,,0,0,,Nord-Kivu,Draft_SitRep_MVE_RDC_20260520_vf1,TRUE
20/05/2026,20/05/2026,Nouveaux,59,0,16,,,0,306,Total,,Draft_SitRep_MVE_RDC_20260520_vf1,TRUE
,19/05/2026,Cumules,309,,13,77,,,176,Mongbwalu,Ituri,Draft_SitRep_MVE_RDC_20260520_vf1,FALSE
,19/05/2026,Cumules,154,,25,43,,,335,Rwampara,Ituri,Draft_SitRep_MVE_RDC_20260520_vf1,FALSE
,19/05/2026,Cumules,90,,6,23,,,203,Bunia,Ituri,Draft_SitRep_MVE_RDC_20260520_vf1,FALSE
,19/05/2026,Cumules,19,,4,5,,,133,Nyankunde,Ituri,Draft_SitRep_MVE_RDC_20260520_vf1,FALSE
,19/05/2026,Cumules,1,,1,0,,,,Goma,Nord-Kivu,Draft_SitRep_MVE_RDC_20260520_vf1,FALSE
,19/05/2026,Cumules,1,,1,0,,,,Katwa,Nord-Kivu,Draft_SitRep_MVE_RDC_20260520_vf1,FALSE
,19/05/2026,Cumules,1,,1,0,,,,Butembo,Nord-Kivu,Draft_SitRep_MVE_RDC_20260520_vf1,FALSE
,19/05/2026,Cumules,575,,51,148,,,847,Total,,Draft_SitRep_MVE_RDC_20260520_vf1,TRUE
