province,zone_de_sante,cas_suspects,cas_probables,cas_confirmes,deces_suspects,deces_probables,deces_confirmes
Ituri,Mongbwalu,309,,13,77,,
Ituri,Rwampara,154,,25,43,,
Ituri,Bunia,90,,6,23,,
Ituri,Nyankunde,19,,4,5,,
Nord-Kivu,Goma,1,,1,0,,
Nord-Kivu,Katwa,1,,1,0,,
Nord-Kivu,Butembo,1,,1,0,,
,Total,575,,51,148,,
