province,zone_de_sante,cas_suspects,cas_probables,cas_confirmes,deces_suspects,deces_probables,deces_confirmes,contacts
Ituri,Bunia,35.0,0,5,,,0,0.0
Ituri,Rwampara,25.0,0,3,,,0,286.0
Ituri,Mungbwalu,8.0,0,0,,,0,0.0
Ituri,Bambu,1.0,0,1,,,0,128.0
Ituri,Nyankunde,9.0,0,3,,,0,0.0
Ituri,,78.0,0,12,,,0,414.0
Nord-Kivu,Goma,,0,0,,,0,
Nord-Kivu,Butembo,,0,0,,,0,
Nord-Kivu,Katwa,,0,1,,,0,
Nord-Kivu,,0.0,0,1,,,0,0.0
,,78.0,0,13,,,0,414.0
