province,zone_de_sante,cas_suspects,cas_probables,cas_confirmes,deces_suspects,deces_probables,deces_confirmes,contacts
Ituri,Aru,,,0.0,,,,
Ituri,Bambu,8,,0.0,1,,,
Ituri,Bunia,19,,21.0,9,,,
Ituri,Kilo,,,0.0,,,,
Ituri,Mongbwalu,7,,8.0,0,,,
Ituri,Nizi,,,0.0,,,,
Ituri,Nyankunde,7,,2.0,1,,,
Ituri,Rwampara,13,,12.0,2,,,
Ituri,ZS non identifiée,,,0.0,,,,
Ituri,Mangala,,,0.0,,,,
Ituri,Damas,1,,0.0,0,,,
Ituri,Aungba,,,0.0,,,,
Ituri,Gety,3,,,0,,,
Ituri,Komanda,,,,,,,
Ituri,Jiba,2,,,0,,,
Ituri,Lita,,,1.0,,,,
Ituri,Sans fiche,,,8.0,,,,
Ituri,,60,,52.0,13,,,
Nord-Kivu,Butembo,,,,,,,
Nord-Kivu,Goma,,,,,,,
Nord-Kivu,Katwa,,,,,,,
Nord-Kivu,Karisimbi,,,,,,,
Nord-Kivu,Kyondo,,,,,,,
Nord-Kivu,Oicha,,,,,,,
Nord-Kivu,Kalunguta,,,,,,,
Nord-Kivu,Manguripa,,,,,,,
Nord-Kivu,Beni,,,,,,,
Nord-Kivu,,0,,0.0,0,,,
Sud-Kivu,Miti Murhesa,,,2.0,,,,
Sud-Kivu,,0,,2.0,0,,,
,Total,60,,54.0,13,,,
