province,zone_de_sante,cas_suspects,cas_probables,cas_confirmes,deces_suspects,deces_probables,deces_confirmes
Ituri,Mongbwalu,302,,1,74,,
Ituri,Rwampara,136,,19,38,,
Ituri,Bunia,61,,6,18,,
Ituri,Nyankunde,14,,4,1,,
Nord-Kivu,Goma,1,,1,0,,
Nord-Kivu,Katwa,1,,1,0,,
Nord-Kivu,Butembo,1,,1,0,,
,Total,516,,33,131,,
