province,zone_de_sante,cas_suspects,cas_probables,cas_confirmes,deces_suspects,deces_probables,deces_confirmes,contacts
Ituri,Bunia,,,97,,,9,
Ituri,Rwampara,,,76,,,16,
Ituri,Mongbwalu,,,47,,,10,
Ituri,Nyankunde,,,22,,,1,
Ituri,Bambu,,,2,,,2,
Ituri,Aru,,,2,,,1,
Ituri,Kilo,,,2,,,0,
Ituri,Nizi,,,2,,,0,
Ituri,Rimba,,,3,,,0,
Ituri,Mambasa,,,2,,,1,
Ituri,Mangala,,,1,,,0,
Ituri,Damas,,,3,,,0,
Ituri,Aungba,,,1,,,0,
Ituri,Gety,,,1,,,0,
Ituri,Komanda,,,1,,,0,
Ituri,Lita,,,2,,,0,
Ituri,Logo,,,1,,,0,
Ituri,Autres ZS (non ventilées),,,94,,,10,
Ituri,Sous-total Ituri,,,359,,,50,
Nord-Kivu,Katwa,,,7,,,5,
Nord-Kivu,Beni,,,5,,,3,
Nord-Kivu,Butembo,,,2,,,2,
Nord-Kivu,Oicha,,,2,,,2,
Nord-Kivu,Kalunguta,,,1,,,1,
Nord-Kivu,Kyondo,,,1,,,0,
Nord-Kivu,Goma,,,1,,,0,
Nord-Kivu,Sous-total Nord-Kivu,,,19,,,13,
Sud-Kivu,Miti-Murhesa,,,3,,,1,
Sud-Kivu,Sous-total Sud-Kivu,,,3,,,1,
,TOTAL,,,381,,,64,
