data_date,province,sitrep_source,contacts_listed,contacts_followed,pct_followed
03/06/2026,Ituri,MVE_SitRep_020_2026-06-04,3837,2032,53.0
03/06/2026,Nord-Kivu,MVE_SitRep_020_2026-06-04,533,343,64.4
03/06/2026,Sud-Kivu,MVE_SitRep_020_2026-06-04,181,150,82.9
